2026/05/25 03:44:30 [WS] ob msg: orderbook.50.PYTHUSDT len=81
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.XRPUSDT len=80
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=120
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.LDOUSDT len=95
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SOLUSDT len=80
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SUIUSDT len=115
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SEIUSDT len=82
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=146
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=120
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SEIUSDT len=81
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.AVAXUSDT len=118
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.TONUSDT len=78
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=102
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SUIUSDT len=99
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SOLUSDT len=100
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.XRPUSDT len=80
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=143
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.AVAXUSDT len=97
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.XRPUSDT len=141
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=97
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.BTCUSDT len=136
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.AVAXUSDT len=80
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=102
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.SOLUSDT len=79
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.XRPUSDT len=80
2026/05/25 03:44:30 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.XRPUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SHIBUSDT len=164
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.TONUSDT len=78
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=96
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.XRPUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.FLOKIUSDT len=112
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SHIBUSDT len=87
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=115
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SUIUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SEIUSDT len=103
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.XRPUSDT len=120
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SUIUSDT len=76
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.XRPUSDT len=99
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SUIUSDT len=78
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.XRPUSDT len=100
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=78
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SUIUSDT len=78
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.XRPUSDT len=99
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=94
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=96
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=197
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SUIUSDT len=78
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=97
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=121
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.PYTHUSDT len=82
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.TIAUSDT len=102
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=202
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=101
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=80
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ORDIUSDT len=94
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=122
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=99
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=120
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=133
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=103
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=101
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.BTCUSDT len=97
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.TONUSDT len=78
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.APTUSDT len=79
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.ETHUSDT len=119
2026/05/25 03:44:31 [WS] ob msg: orderbook.50.SUIUSDT len=78
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=118
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=87
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SHIBUSDT len=162
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=117
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=95
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LDOUSDT len=101
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.XRPUSDT len=80
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LDOUSDT len=143
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=106
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LINKUSDT len=238
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.PYTHUSDT len=116
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.WIFUSDT len=80
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LINKUSDT len=158
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=80
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LINKUSDT len=80
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.GALAUSDT len=106
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.GALAUSDT len=84
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=102
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LDOUSDT len=80
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.PYTHUSDT len=95
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.OPUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=138
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=100
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
